"signature","CFU-E_Cord_Blood_1","CFU-E_Cord_Blood_2","CFU-E_Cord_Blood_3","CFU-E_Cord_Blood_4","CFU-E_Cord_Blood_5","CFU-E_Cord_Blood_6","Pro Eb_Cord_Blood_1","Pro Eb_Cord_Blood_2","Pro Eb_Cord_Blood_3","Pro Eb_Cord_Blood_4","Pro Eb_Cord_Blood_5","Pro Eb_Cord_Blood_6","Baso Eb_Cord_Blood_1","Baso Eb_Cord_Blood_2","Baso Eb_Cord_Blood_3","Baso Eb_Cord_Blood_4","Baso Eb_Cord_Blood_5","Baso Eb_Cord_Blood_6","Poly Eb_Cord_Blood_1","Poly Eb_Cord_Blood_2","Poly Eb_Cord_Blood_3","Poly Eb_Cord_Blood_4","Poly Eb_Cord_Blood_5","Poly Eb_Cord_Blood_6","Ortho Eb_Cord_Blood_3","Ortho Eb_Cord_Blood_4","Ortho Eb_Cord_Blood_6","ARG1+ Ortho Eb_Cord_Blood_1","ARG1+ Ortho Eb_Cord_Blood_2","ARG1+ Ortho Eb_Cord_Blood_3","ARG1+ Ortho Eb_Cord_Blood_4","ARG1+ Ortho Eb_Cord_Blood_5","ARG1+ Ortho Eb_Cord_Blood_6","CD4 T cells_Cord_Blood_1","CD4 T cells_Cord_Blood_2","CD4 T cells_Cord_Blood_3","CD4 T cells_Cord_Blood_4","CD4 T cells_Cord_Blood_5","CD4 T cells_Cord_Blood_6","CD8 T cells_Cord_Blood_1","CD8 T cells_Cord_Blood_2","CD8 T cells_Cord_Blood_3","CD8 T cells_Cord_Blood_4","CD8 T cells_Cord_Blood_5","CD8 T cells_Cord_Blood_6","Regulatory T cells_Cord_Blood_1","Regulatory T cells_Cord_Blood_2","Regulatory T cells_Cord_Blood_3","Regulatory T cells_Cord_Blood_4","Regulatory T cells_Cord_Blood_5","Regulatory T cells_Cord_Blood_6","B cells_Cord_Blood_1","B cells_Cord_Blood_2","B cells_Cord_Blood_3","B cells_Cord_Blood_4","B cells_Cord_Blood_5","B cells_Cord_Blood_6","NK cells_Cord_Blood_1","NK cells_Cord_Blood_2","NK cells_Cord_Blood_3","NK cells_Cord_Blood_4","NK cells_Cord_Blood_5","NK cells_Cord_Blood_6","Monocytes_Cord_Blood_1","Monocytes_Cord_Blood_2","Monocytes_Cord_Blood_3","Monocytes_Cord_Blood_4","Monocytes_Cord_Blood_5","Monocytes_Cord_Blood_6","Dendritic cells_Cord_Blood_1","Dendritic cells_Cord_Blood_2","Dendritic cells_Cord_Blood_3","Dendritic cells_Cord_Blood_4","Dendritic cells_Cord_Blood_5","Dendritic cells_Cord_Blood_6","HSPC_Cord_Blood_1","HSPC_Cord_Blood_2","HSPC_Cord_Blood_3","HSPC_Cord_Blood_4","HSPC_Cord_Blood_5","HSPC_Cord_Blood_6","padj"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II",0.501931681763615,0.491757222369467,0.513208220351077,0.50955091874857,0.502824159967017,0.512360853432282,0.507938429208756,0.507475808127853,0.511073001939512,0.506283163133314,0.496207607831388,0.507756810858315,0.51806899026092,0.517583225399937,0.500122058392735,0.508070732260258,0.506960764103621,0.500422237860662,0.521004505698383,0.458070500927644,0.521227581941868,0.52059470307816,0.577291280148423,0.539438816556389,0.424860853432282,0.539963368443514,0.551222803170855,0.530548996458087,0.566419294990724,0.493791922363351,0.536664740411813,0.536961451247166,0.529031217229975,0.479481190066388,0.500420531849103,0.48650844953366,0.480502251065604,0.517022263450835,0.485065542957324,0.498660555131143,0.496929309757298,0.47705314576924,0.493842108879703,0.455579114762788,0.498529711411627,0.505718651096802,0.491403834260977,0.498967996289425,0.507893668831169,0.538899196042053,0.495093477950621,0.741324321936567,0.742578849721707,0.706550108487154,0.702822510822511,0.732745825602968,0.747504273642764,0.512214245381947,0.525122108212487,0.522059598250074,0.512724872852805,0.534446505875077,0.51839205243266,0.684827960560961,0.662913070366487,0.673805616765906,0.697408940266083,0.609064404982772,0.73466095562742,0.843902850396357,0.816883116883117,0.810760667903525,0.89899814471243,0.702411873840445,0.860335904696807,0.677571634714492,0.69517625231911,0.638673994469143,0.642486085343228,0.751515151515151,0.674211502782931,0
"GOBP_PEPTIDE_ANTIGEN_ASSEMBLY_WITH_MHC_PROTEIN_COMPLEX",0.547812474023995,0.541500123365408,0.551096054204863,0.557846546951522,0.562723085780081,0.581509067357513,0.556040616906207,0.562346010792682,0.557610307809917,0.558210975491078,0.536636308048788,0.560761521679847,0.569271842740181,0.545498093655294,0.552542950640851,0.567334255035985,0.529207445787757,0.565561908165088,0.576178139649642,0.492227979274611,0.576781088082902,0.584088605271703,0.647668393782383,0.593456829749186,0.512435233160622,0.608106407985565,0.597786151672162,0.590962081959491,0.624222797927461,0.569689119170984,0.60219994903593,0.523316062176166,0.603469249831043,0.561995130782196,0.571226252158895,0.576308817668159,0.565840765974658,0.589799222797928,0.570364459897188,0.565890480544549,0.541905466849952,0.559385452875976,0.573746831096163,0.568948926720947,0.570693941118332,0.588143858579701,0.575129533678757,0.575582901554404,0.602606865284974,0.606131260794473,0.582917497010761,0.862139156180607,0.841040587219344,0.802739966628612,0.796449050086356,0.808290155440414,0.856960879697717,0.549635803859728,0.575256423813049,0.564328663724173,0.557684376047225,0.615198618307427,0.564574446206206,0.73278503065819,0.711556656904708,0.709191747255008,0.746869049200655,0.634270910436714,0.774589371055328,0.931653320772492,0.841321243523316,0.861304182990016,0.97720207253886,0.775388601036269,0.951281701663485,0.773402417962003,0.78535091851154,0.71314889040962,0.742357512953368,0.851640759930915,0.765576424870466,0
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II",0.511846067189141,0.498002972320268,0.513835400620186,0.515355291518963,0.51246207195492,0.535801365409623,0.515516846294021,0.517022430380567,0.518039838180962,0.512264336671519,0.503049051361371,0.513197462528232,0.525279848585619,0.522388792109331,0.5108308808432,0.514667492517082,0.512522275201079,0.511613828976279,0.524939624744566,0.479600130039012,0.53865274165583,0.531645188379402,0.579193758127438,0.545444606833377,0.389141742522757,0.556033103860871,0.554586830594633,0.535247221893841,0.565547789336801,0.506251875562669,0.54058389648042,0.513690218176564,0.547506643297337,0.484803648926003,0.506534460338101,0.491285620980412,0.48572764965425,0.53584200260078,0.490883208606094,0.504343557969352,0.506037525543377,0.476689684120426,0.499480984646271,0.471205647408508,0.507432142937679,0.515757668477014,0.498230024562924,0.502814125487646,0.510205014629389,0.554291287386216,0.499799939981995,0.718268159019134,0.707954052882531,0.684385400365872,0.676749024707412,0.696440182054616,0.715901670064338,0.512190686191365,0.525841936254346,0.523940824222575,0.516393972918244,0.52263040023118,0.520397892735298,0.713823317300867,0.693974859124404,0.689399238544126,0.72446595089638,0.632128924391603,0.759853880378531,0.8258216101194,0.787711313394018,0.775008722128834,0.875877763328999,0.671488946684005,0.843388542878653,0.655631411645716,0.690566260787327,0.634645582353951,0.633493172951886,0.760403120936281,0.652948228218466,0
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN",0.537759991098934,0.531689268685367,0.54757677303191,0.548653294618523,0.553045080190724,0.570403933680104,0.541732687873589,0.543403892537056,0.547454400254503,0.542710173609852,0.527421269859219,0.547364785093423,0.553299036784827,0.554260617807984,0.540200876052289,0.54759071112855,0.536049703800029,0.548069593291781,0.55978311350548,0.503494798439532,0.563427882531426,0.568598767641192,0.629518855656697,0.590520961598214,0.496749024707412,0.593797388417803,0.607577727863814,0.570605272490838,0.608988946684005,0.552428228468541,0.587211409324437,0.542623898280595,0.586645558885057,0.543452418255597,0.563009319462505,0.551178588870779,0.545952076336225,0.578612646293888,0.55051495789497,0.561978887783982,0.560521217589767,0.543128919688565,0.557978260924671,0.524846739736207,0.562649864323459,0.568719880670083,0.556133506718682,0.562764141742523,0.570513146131339,0.597800173385349,0.559592877863359,0.771572543191529,0.775384698742956,0.743790086178396,0.737897702644127,0.766823797139142,0.779632142917985,0.574232487137446,0.586018152384491,0.583293197835894,0.574596943759745,0.594206039589655,0.580020196840102,0.72068443677208,0.703831439286859,0.712555102270753,0.730985962455403,0.637516254876463,0.764773609532028,0.863902352523939,0.839835283918509,0.832186241238225,0.910793237971391,0.740897269180754,0.876959140373691,0.718790637191157,0.733316585884856,0.684176951198567,0.687784460338101,0.783810143042913,0.715620936280884,0
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN",0.533434838581897,0.524319334215168,0.542901976495726,0.54451262049721,0.539689429012346,0.559787326388889,0.536737443293816,0.539694031427693,0.540994917916024,0.537386498977634,0.524212100299057,0.540245606420565,0.546877945057016,0.546454620894479,0.536035727339181,0.542565389189064,0.519515174897119,0.535610233077905,0.553874559082892,0.491247106481481,0.553258825231482,0.559511712836815,0.59380787037037,0.577538614388725,0.447627314814815,0.581339301561945,0.599589646464646,0.558087384259259,0.578125,0.545094373219373,0.573206018518518,0.541216563786008,0.578263385668277,0.529627189312807,0.556573109567901,0.540953106670018,0.536563676100394,0.562952112268518,0.538530441483423,0.546938543936093,0.547843442932729,0.534548244842944,0.546596928922099,0.500351355820106,0.550382345857418,0.561214937363834,0.539319701646091,0.56004955150463,0.564695005063657,0.576051311728395,0.552973646723647,0.737037725970018,0.739896797839506,0.711785938480854,0.705150462962963,0.708695023148148,0.741991650493288,0.557927402039721,0.572686366213152,0.56468621399177,0.559088959139488,0.578671553497942,0.563914526722625,0.688429969270581,0.674240136876006,0.682108863150154,0.700533198797088,0.614293981481482,0.726621333093722,0.812552609427609,0.800708912037037,0.785265639114724,0.856134259259259,0.712094907407407,0.824744152046784,0.682934670781893,0.696193707912458,0.661709468902865,0.656105324074074,0.770158179012346,0.686966507523148,0
"GOBP_RESPONSE_TO_CALCIUM_ION",0.581884680391233,0.59365901801135,0.585422479075329,0.559308680530911,0.586873920552677,0.613795336787565,0.547531438387885,0.551331885709372,0.559086959078465,0.549859333944754,0.534212982331928,0.547540564494137,0.548212237471819,0.564708182618047,0.559374147804745,0.548669776336361,0.510343504125888,0.56767911381097,0.54359733530718,0.569041450777202,0.59153713298791,0.57619290988409,0.494300518134715,0.569397954972718,0.305181347150259,0.607811749904815,0.62802637776731,0.564019076778144,0.5389896373057,0.55530091669988,0.581763356833432,0.518422567645366,0.564000901103852,0.685681066233847,0.735906735751295,0.684971748763276,0.744036569292673,0.706347150259067,0.722070637448305,0.716025601950625,0.75545098868563,0.706434052600512,0.757863426557182,0.65699481865285,0.73335829165294,0.728969826272478,0.686873920552677,0.698656088082902,0.762244980569948,0.661226252158895,0.74066958947788,0.700289908709598,0.734067357512953,0.701203126372179,0.683716753022452,0.60880829015544,0.694791501685635,0.726819854321544,0.75004758380036,0.726958996993539,0.762794834119558,0.653339090385722,0.724244856799772,0.752797701201439,0.826319741683562,0.784556966760816,0.781161153181879,0.707549962990378,0.798264583911965,0.730993876589731,0.717789291882556,0.686983444963983,0.814922279792746,0.63419689119171,0.771461685301336,0.717299942429476,0.841380122468205,0.800938508163066,0.854209844559585,0.698963730569948,0.806314766839378,0
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN",0.523385091472664,0.532897042035423,0.540191531705892,0.530539848934641,0.55053142389957,0.537235936387372,0.530041220467213,0.531539898732731,0.534391388690922,0.530653081951803,0.525253835731756,0.53234037502967,0.536658011764145,0.536067607450434,0.532045235923895,0.533284933879401,0.51463283839263,0.54020396637665,0.544733986639992,0.471398053643484,0.543333135532874,0.546401659324874,0.621077616900071,0.556051748801119,0.536434844528839,0.565488382603974,0.597479662516453,0.552106035431457,0.583521243769286,0.523224816958498,0.569622518901293,0.534852440857663,0.570047162509417,0.520455188901821,0.530279294247963,0.520189072178014,0.521207670036249,0.538244718727747,0.52107827018599,0.531934302322876,0.52392739673605,0.515061878994192,0.526649389779801,0.491878878301855,0.532501245113871,0.543108864718449,0.536593084895957,0.52710360788037,0.533406643128412,0.575836695941135,0.52633789187314,0.69041402461768,0.707364111084738,0.673037852973243,0.659808529155788,0.726204604794683,0.698050430306693,0.535216393702033,0.541884449008656,0.548109467169519,0.536344505811791,0.547880897750349,0.540670256352434,0.64669763064418,0.63747131893346,0.638704679773196,0.64755914233721,0.582889695161236,0.675130625083087,0.768541095742615,0.713209114645146,0.742151181302936,0.822122003323048,0.630666983147401,0.786875210813647,0.643273465727774,0.651835228621367,0.615560999422273,0.632061476382625,0.682332463011314,0.634731782577736,0
"GOBP_FATTY_ACID_TRANSPORT",0.528228644260342,0.524771773994572,0.551215623754484,0.497168003406913,0.518192285549799,0.549384715025907,0.517377106282928,0.515410745383011,0.528356278054741,0.516953356079752,0.505602935023976,0.519931142623398,0.5216977151973,0.528995991788054,0.5294007362967,0.524447947488791,0.517443868739206,0.518143648383062,0.525246730816679,0.580310880829015,0.55770725388601,0.528552752325959,0.51699481865285,0.522898803246366,0.140414507772021,0.558751179460014,0.51954780970325,0.528944889307584,0.555569948186528,0.506636110003986,0.547999660239531,0.46776050662061,0.583397161522865,0.473511143017667,0.496295336787565,0.478707242163506,0.475362450226292,0.501424870466321,0.479246769297632,0.474861322767449,0.479094850375383,0.469023414442185,0.483993374339707,0.496262028127313,0.481454970199766,0.508838768668089,0.541450777202073,0.515220207253886,0.46942600388601,0.617875647668394,0.475591869270626,0.565408339501604,0.492357512953368,0.544208307719329,0.567447322970639,0.481735751295337,0.560268796524651,0.500388976496208,0.501004546896479,0.506287980553956,0.519535740984198,0.48013816925734,0.525249281842729,0.710518813494129,0.720079597506946,0.692852733768542,0.701859970771888,0.5920059215396,0.73271240171243,0.631912388130005,0.603195164075993,0.617073170731707,0.670155440414508,0.475388601036269,0.675484046904827,0.546516983304548,0.582477626000942,0.608407468960798,0.539443005181347,0.639896373056995,0.544462435233161,0
"GOBP_GRANZYME_MEDIATED_PROGRAMMED_CELL_DEATH_SIGNALING_PATHWAY",0.504248250414421,0.476190476190476,0.515198377066081,0.514874236744073,0.504011144737474,0.551043017725897,0.49777692785246,0.493736466983476,0.495092980134761,0.498389125235824,0.504743644483113,0.503280940678545,0.498986258661905,0.48970135982837,0.507107993719708,0.495340766113251,0.500408320122976,0.527147904646898,0.488995944248863,0.32998270644185,0.492389033001873,0.496715519790404,0.410981409424989,0.525475477198903,0.668828361435365,0.494670351907333,0.479621113862359,0.49475297724325,0.505566364029399,0.483221922910639,0.493298746217034,0.447614930105202,0.513017161976729,0.506263705926169,0.480134025075659,0.493648921206715,0.495255327282915,0.476815823605707,0.497309355803626,0.514839398794537,0.491154697936243,0.532942586481472,0.499968396275311,0.6544376505466,0.495165550832315,0.477696396327662,0.475716962098285,0.540801988759187,0.487867488110679,0.475068453667675,0.496311816156174,0.4987184238157,0.527255368208676,0.463203558369423,0.493563914108661,0.532749675745785,0.493330841248534,0.717107464426023,0.69390402075227,0.687699156138412,0.718270945316651,0.608805303357833,0.710580900803951,0.487427243395503,0.492722294278715,0.481297828472251,0.483728165959035,0.466740781915879,0.479608545447135,0.518492316157686,0.559951001585243,0.514230278489555,0.373627323821876,0.563337656722871,0.469929688033313,0.519839554210501,0.544530912235192,0.490223429508357,0.495622568093385,0.425421530479896,0.505485300475573,0
"GOBP_MONOCARBOXYLIC_ACID_TRANSPORT",0.525187790008115,0.523068371317399,0.547266287538661,0.494133811867408,0.514435317288754,0.547476221357544,0.514153183184998,0.510963649443072,0.521580147082475,0.515034667087933,0.504174353438437,0.51621271076524,0.519170877296044,0.525781269118763,0.52548808792409,0.521419645870193,0.506332965044595,0.520051582509653,0.520191258518107,0.554366623432771,0.54983607148004,0.523544566842312,0.463726761781237,0.528945666854141,0.279290964115867,0.549350869995815,0.522265456117596,0.525223047596588,0.528426286208387,0.508962719079451,0.53658225425783,0.44651006389009,0.566702381623715,0.472150599805187,0.498097708603545,0.47794191007741,0.477431382920226,0.48313878080415,0.479119955077546,0.475498249451099,0.486601904056045,0.467188756998145,0.485300896955845,0.505774813167809,0.47921149371859,0.499758398819969,0.537301244175434,0.508781884997838,0.481858652183312,0.611615506557141,0.479098074428814,0.553419595248389,0.489659893356391,0.533513596693706,0.56854878224528,0.465304798962387,0.54654629141911,0.504291434049512,0.504874842284514,0.512257609966214,0.530059387455287,0.482298121727434,0.519291119115748,0.696832220390918,0.699743729518725,0.680659153021456,0.691452252412045,0.578098943857699,0.7192418005439,0.61557206304288,0.60531056348177,0.58817078443158,0.670644185041072,0.463251188932123,0.642660477393224,0.527933900177739,0.551684156742522,0.584881188361109,0.515402075226978,0.657875774607292,0.523238218763511,0
