"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.252527848482106,0.892,0.813,0,"0","Protein-CD19"
0,0.864546505863723,0.812,0.776,0,"0","Protein-CD30"
0,1.07746842988428,0.984,0.95,0,"0","Protein-FceR1a"
0,0.810544576695636,0.83,0.803,0,"0","Protein-CD294"
0,2.46002561497081,1,0.98,0,"0","Protein-CD71"
0,0.808593022224651,0.995,0.98,0,"0","Protein-CD34"
0,0.735221212712893,0.982,0.97,0,"0","Protein-CD117"
0,0.553372475722631,0.981,0.973,0,"0","Protein-CD15"
0,0.527444365003724,0.898,0.89,0,"0","Protein-CD45RO"
0,0.318827087658603,0.979,0.972,0,"0","Protein-CD79b"
0,1.50636575731044,1,0.994,0,"0","Protein-CD36"
0,0.723858258213912,0.998,0.994,0,"0","Protein-CD95"
0,0.973916843182355,1,1,0,"0","Protein-CD235"
3.7156790658859e-231,0.871573408734314,0.65,0.616,1.37480125437778e-229,"0","Protein-CD1a"
1.28962225135445e-179,4.00353996634859,1,0.735,4.77160233001147e-178,"10","Protein-CD25"
1.82558526612264e-86,1.57522196228833,1,0.942,6.75466548465376e-85,"10","Protein-CD5"
1.21780326220227e-77,1.51137506385754,1,0.955,4.50587207014841e-76,"10","Protein-CD3"
5.68720565412781e-74,1.71882326648211,0.989,0.939,2.10426609202729e-72,"10","Protein-CD4"
3.74769689954495e-70,0.437067801327284,1,1,1.38664785283163e-68,"10","Protein-CD44"
4.6688423772395e-41,1.12596071684684,0.978,0.895,1.72747167957862e-39,"10","Protein-CD2"
1.97235114519356e-26,0.838734053602646,0.927,0.764,7.29769923721617e-25,"10","Protein-CD45RA"
4.10323752790865e-20,0.472797226090294,1,0.999,1.5181978853262e-18,"10","Protein-CD62L"
2.38449116732364e-10,0.575874268588831,0.978,0.902,8.82261731909747e-09,"10","Protein-CD127"
2.16715257617641e-07,0.299705353658688,0.989,0.99,8.01846453185272e-06,"10","Protein-CD38"
8.14357516803753e-87,2.32633185881078,1,0.989,3.01312281217388e-85,"12","Protein-CD34"
