"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.14558863488749,0.993,0.292,0,"0","SLC25A37"
0,4.14039982524076,0.996,0.404,0,"0","SNCA"
0,3.15543325730864,0.766,0.236,0,"0","LGALS3"
0,2.95251446771094,0.978,0.542,0,"0","YBX3"
0,4.03591372429424,0.999,0.667,0,"0","ALAS2"
2.07429888659246e-207,3.63783272825457,0.755,0.14,7.19781713647584e-205,"10","IL32"
1.20336166288978e-112,2.35732620359572,0.945,0.479,4.17566497022754e-110,"10","RGS1"
1.41872691089671e-103,2.0890745912865,0.781,0.249,4.92298238081159e-101,"10","CD52"
1.23972177217103e-94,1.66948829529115,0.828,0.274,4.30183454943348e-92,"10","PIK3IP1"
1.63843224605989e-86,1.32948771915196,1,0.755,5.68535989382781e-84,"10","HLA-A"
1.8537705735522e-85,1.63613947612137,0.901,0.386,6.43258389022614e-83,"10","CXCR4"
9.92165587314879e-80,2.2225972297838,0.522,0.133,3.44281458798263e-77,"10","TRAC"
2.56800537885771e-75,1.71236038435721,0.715,0.25,8.91097866463625e-73,"10","TRBC2"
2.2799283544572e-74,1.58944884078665,0.664,0.201,7.91135138996649e-72,"10","LEF1"
1.70103647395724e-68,1.25689530579863,0.938,0.434,5.90259656463163e-66,"10","BTG1"
2.44654159493067e-68,2.06978740419473,0.599,0.192,8.48949933440942e-66,"10","ARL4C"
1.28617582695302e-64,1.54803643188976,0.734,0.284,4.46303011952698e-62,"10","PTPRC"
5.44992864796431e-60,1.28720649590667,0.942,0.529,1.89112524084362e-57,"10","FOSB"
3.48012388448024e-59,1.44498588365799,0.726,0.279,1.20760298791464e-56,"10","CD69"
2.57377927423611e-57,1.47733684743442,0.741,0.304,8.93101408159931e-55,"10","DUSP1"
2.05337065684803e-54,1.64200890807192,0.478,0.139,7.12519617926267e-52,"10","CD3D"
1.65237896149755e-51,1.73634120117148,0.588,0.221,5.7337549963965e-49,"10","S100A10"
3.31970040769322e-50,1.79833584238617,0.416,0.119,1.15193604146955e-47,"10","CD3E"
9.22155647221369e-50,1.11329231966413,0.766,0.322,3.19988009585815e-47,"10","IL23R"
3.37433655149509e-49,2.07482919000344,0.325,0.079,1.1708947833688e-46,"10","CD5"
4.82326122886569e-49,1.70460141948253,0.485,0.159,1.6736716464164e-46,"10","FYB"
1.7102018281531e-44,1.82083463948457,0.434,0.141,5.93440034369125e-42,"10","JUNB"
8.98413887900409e-44,1.81536992195327,0.423,0.136,3.11749619101442e-41,"10","CD44"
7.99305841116794e-42,2.07327397323517,0.277,0.067,2.77359126867527e-39,"10","ICOS"
2.07878349610616e-40,1.58522739767685,0.464,0.164,7.21337873148837e-38,"10","CD48"
1.55716437802473e-39,1.25151746611376,0.496,0.174,5.40336039174581e-37,"10","IL7R"
4.82012905615036e-39,1.90459188962284,0.339,0.1,1.67258478248417e-36,"10","FOXP1"
1.28837380108582e-33,1.03941201545991,0.569,0.239,4.4706570897678e-31,"10","DUSP2"
