TF,target,importance
FOSB,ALAS2,56.83804727781907
FOSB,SLC25A37,48.38073313479973
FOSB,SNCA,48.13005443788056
FOSB,YBX3,35.318412192800324
FOSB,BTG1,31.793865306776624
FOSB,HLA-A,30.27134725382337
LEF1,RGS1,28.25218654922068
FOSB,RGS1,27.632088686800262
JUNB,FOSB,26.95182739384448
FOSB,CXCR4,26.262316827299706
RUNX3,YBX3,25.205364767652323
JUN,FOSB,25.195221692278277
LEF1,BTG1,23.6037242802182
JUN,CD200,23.521181438777006
LEF1,FOSB,21.27141840792634
RUNX3,BTG1,20.91471765839055
RUNX3,SLC25A37,20.317690715620497
FOSB,LGALS3,19.997541000154147
PAX5,IGHM-secreted,19.67735638780766
RUNX3,SNCA,19.608231107591735
IKZF1,IL15RA,19.35522389251549
RUNX3,HLA-A,19.34919455565949
EGR1,FOSB,18.906062449033815
EGR1,FLT3,18.688139766234492
FOSB,IL1R2,18.423558782262926
RUNX3,ALAS2,18.26664313618658
RUNX3,CXCR4,17.94826753228145
RUNX3,FOSB,17.830545956303194
MYC,CD9,17.668216475170944
POU2AF1,PAX5,17.661568804042055
RUNX3,NKG7,17.284351225940124
PRDM1,BPI,17.216289347600338
PAX5,BLNK,16.965121274160893
LEF1,YBX3,16.956734347579467
RUNX3,CTSW,16.95240180670409
RUNX3,ITGAM,16.92086703861454
JUNB,ALAS2,16.60992551010669
RUNX3,RGS1,16.146960026485523
RUNX3,FCGR3A,16.067981960827332
RUNX3,KLRB1,15.90656227314716
PAX5,POU2AF1,15.678023312639827
IRF8,TGFB1,15.642848344921395
RUNX3,IL2RB,15.587399841423366
RUNX3,KLRF1,15.510739356634835
IRF8,IRF4,15.496124760851568
RUNX3,HAVCR2,15.485758953441193
PRDM1,VSIG4,15.375068154155263
LEF1,IL23R,15.362340936598056
LEF1,CXCR4,15.305499196475196
JUN,SLC25A37,15.292170416757635
IRF8,TCF4,15.254893808136444
LEF1,SLC25A37,15.219741680836892
EGR1,FASLG,15.148030704762949
