Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
5749,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
7720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8889,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
10649,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
11580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13268,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1
18278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22313,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
32049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
37081,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
38184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41850,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
42175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
43117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
48631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
48907,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
52595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
56150,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
56299,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
56383,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
62716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
72417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
76622,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
77994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79970,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
81893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
84338,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
84776,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
86565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
88306,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
89238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
91252,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0
91400,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
91932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96564,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
97015,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
97174,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0
97454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
100453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
100491,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
101801,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
103026,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0
106523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
106983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
115569,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
119968,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
122496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
127396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
130824,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
131331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
138904,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
139861,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
143199,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
145117,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
